household_id,village,monthly_income,house_condition,num_dependents
1,Village C,3398038.413364583,poor,0
2,Village A,8012843.444003159,good,0
3,Village C,2537062.502811583,poor,2
4,Village C,7614968.37908669,average,3
5,Village A,2801543.499283713,poor,3
6,Village A,4296351.655325556,poor,4
7,Village C,6278539.075713835,poor,5
8,Village B,2067584.33820767,average,1
9,Village C,7938046.795081535,poor,1
10,Village C,4284112.337197371,average,2
11,Village C,5274552.271356579,average,0
12,Village C,7324401.578081504,average,3
13,Village A,3413749.3096657004,average,5
14,Village C,7121627.372510778,poor,2
15,Village B,8281067.14178474,poor,1
16,Village A,3688842.0053408416,poor,1
17,Village B,7738775.345192589,average,1
18,Village B,1478842.811516794,average,3
19,Village B,5779200.789589134,average,3
20,Village B,2542802.968592383,poor,3
21,Village A,6885137.097072378,average,4
22,Village A,6720912.096844407,poor,0
23,Village B,9154759.991182487,good,1
24,Village B,7842565.965904999,poor,1
25,Village A,4668457.60479709,good,4
26,Village A,2836505.025402319,average,1
27,Village A,6131374.15933878,poor,1
28,Village C,4878537.179229014,poor,3
29,Village C,8102310.089191408,poor,3
30,Village C,900000.0,poor,0
31,Village B,9376113.518577255,poor,1
32,Village C,6063981.215223607,average,2
33,Village B,3373975.7565592555,poor,1
34,Village B,6467978.454837132,average,1
35,Village C,7594842.842579408,poor,0
36,Village B,5228693.7826073775,good,2
37,Village C,1470159.2317103143,average,1
38,Village C,4412305.927305788,poor,5
39,Village A,7078790.106084276,poor,5
40,Village C,5993329.468454749,poor,2
41,Village A,4686985.938329254,poor,5
42,Village C,7616631.661782871,average,3
43,Village C,6478611.6816645935,average,3
44,Village A,6632678.311876688,good,2
45,Village A,4178730.6160383974,average,1
46,Village C,3985232.6365078026,good,2
47,Village B,1600080.5586339575,good,5
48,Village A,4481216.488125488,good,2
49,Village B,6870784.107596256,average,5
50,Village B,4591813.405968826,poor,3
51,Village B,5891077.69305801,poor,2
52,Village A,7222398.713306561,average,4
53,Village B,5745665.983597265,poor,5
54,Village A,5941029.523521604,poor,4
55,Village B,2284355.0759248915,average,3
56,Village C,4354870.431796046,poor,1
57,Village C,8453253.01299319,average,5
58,Village A,5207594.3621921865,poor,1
59,Village C,8793476.36399315,average,3
60,Village C,3553768.7387221055,average,1
61,Village B,5467894.90426908,poor,5
62,Village A,4234643.124896264,average,0
63,Village B,6183969.370249107,average,5
64,Village B,6790017.336120242,poor,5
65,Village B,6204932.191401801,poor,4
66,Village B,7083704.287496057,poor,0
67,Village B,4973654.022955346,average,0
68,Village B,4618943.264672644,average,0
69,Village B,1483613.9854480564,poor,5
70,Village A,6276901.8703291295,average,3
71,Village C,5344368.184480314,poor,0
72,Village B,4864170.524874934,good,2
73,Village B,4618365.18909131,poor,1
74,Village B,4926240.87731242,good,3
75,Village B,4527527.737004166,poor,2
76,Village B,3943932.3228733907,average,5
77,Village B,5479177.761448338,average,5
78,Village C,5968318.237865905,average,2
79,Village C,3458864.1712276386,poor,4
80,Village B,4198528.861625219,average,4
81,Village C,4590756.497470263,poor,2
82,Village A,5009626.6147535695,average,4
83,Village B,4743629.060828466,average,1
84,Village A,6319442.399312788,good,1
85,Village A,1695265.9685923816,average,5
86,Village B,2049925.603319766,poor,4
